ID_GéoFLA;COMMUNE1;COMMUNE;COMMUNE0;STATUT;POPULATION;SUPERFICIE;CHEF_LIEU;ORDONNée0;CENTROïdE;ORDONNée_;MOYENNE;CANTON;ARRONDISSE;DépARTEME;DépARTEM0;RégION;NOM_RégIO;OBJECT_ID;LENGTH;SHAPE_AREA;Referent;x;y
2873;138;11138;FENDEILLE;Commune simple;0.4;735;5680;18075;5684;18076;219;10;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2543;12295.7210677868;7499538.86927482;Jean Muratet;614625.461917917;6241876.62840003
2874;139;11139;FENOUILLET-DU-RAZES;Commune simple;0.1;760;5749;17950;5749;17948;320;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2544;13166.251926103;7465816.57495229;Jean Muratet;621080.461326516;6229021.30940716
2875;140;11140;FERRALS-LES-CORBIERES;Commune simple;1;1619;6318;17939;6327;17934;97;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2545;16858.7114409869;16012489.633461;Maria Lanzellotti;678782.451774069;6227151.78435516
2876;141;11141;FERRAN;Commune simple;0.1;612;5798;17944;5799;17945;245;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2546;11695.9666285116;5991291.73911671;Jean Muratet;626014.209452783;6228632.22339863
2877;142;11142;FESTES-ET-SAINT-ANDRE;Commune simple;0.2;1857;5843;17745;5819;17732;513;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2547;18180.8429106907;18209592.7799777;Karel Crombe;627870.738769159;6207370.80386483
2878;143;11143;FEUILLA;Commune simple;0.1;2431;6469;17700;6461;17697;314;30;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2548;20414.9532831744;24446494.2969072;Emilie Louvet;691988.769985305;6203327.99703835
2879;144;11144;FITOU;Commune simple;0.7;3094;6525;17658;6515;17660;104;30;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2549;25246.3333130875;31247475.7733688;Emilie Louvet;697326.356762604;6199586.50591644
2880;145;11145;FLEURY;Commune simple;2.5;5239;6649;18033;6683;18017;37;14;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2550;32203.355687342;52804324.9851126;Camille Montegu;714398.681210102;6235092.72668196
2881;146;11146;FLOURE;Commune simple;0.3;461;6125;17978;6121;17973;139;06;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2551;9609.94436638276;4476306.4056983;Maria Lanzellotti;658162.640980517;6231188.97190731
2882;147;11147;FONTANES-DE-SAULT;Commune simple;0;556;5790;17517;5791;17516;1088;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2552;9947.79047546817;5468731.77073869;Carine Boucabeille;624838.10245044;6185822.20180942
2883;148;11148;FONTCOUVERTE;Commune simple;0.4;1024;6286;17962;6284;17962;98;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2553;12798.292484768;10277461.5707242;Maria Lanzellotti;674492.970398649;6229896.09943435
2884;149;11149;FONTERS-DU-RAZES;Commune simple;0.1;1268;5672;18029;5663;18040;326;16;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2554;14985.1812939965;12677462.1639356;Jean Muratet;612544.355535064;6238214.84838516
2885;150;11150;FONTIERS-CABARDES;Commune simple;0.3;884;5928;18185;5932;18191;633;28;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2555;14617.4861810358;8795385.2962543;Jean Muratet;639495.938019564;6253121.65879859
