Group.1,Group.2,x
5831a95f405b0e000d3ccb69,FALSE,205
5831abf5405b0e000d3ccb6d,FALSE,233
5831aee91d3078000f5c37b8,FALSE,205
5831b1731d3078000e1accd3,FALSE,210
5831b2191d3078000f5c37c5,FALSE,205
5831b6df405b0e000d3ccb8a,FALSE,205
5831b739405b0e000ec483c1,FALSE,232
5831b9681d3078000e1acce7,FALSE,214
5831b9b2405b0e000f097993,FALSE,205
58333e2d1f65c8000d615b7b,FALSE,232
58333ec85169cc000d59c83b,FALSE,205
58333f801f65c8000fd6d5a1,FALSE,247
58333fe31f65c8000e31ce66,FALSE,205
