"Directory or file in ""/sps/mnhn""";Space used;# of files;Average file size;Median file size;# of directories;# of symlinks;Most recent file access time;Most recent file modification time;participation;site;point;user;date;enregistreur;micro;latitude;longitude;carre
vigiechiro/vigiechiro-prod-datastore/611789199fea310739e7e069;14.41 GiB;22741;664.28 KiB;129.56 KiB;0;0;2022/10/21 00:06;2022/10/21 00:15;611789199fea310739e7e069;611788bb3488a1dae99ea450;Z1;5e778bd20a096e00116edf07;2021-08-13T21:00:00Z;PassiveRecorder;;44.7436209635246;1.39234713570571;Vigiechiro - Point Fixe-460372
vigiechiro/vigiechiro-prod-datastore/61180727ad720385dfdb48f9;11.51 GiB;16256;742.54 KiB;119.18 KiB;0;0;2022/11/02 18:03;2022/10/27 01:45;61180727ad720385dfdb48f9;584af1fbaceba5000da2c7d0;Z2;55bf2cd2f70d05000d92a4bc;2021-06-29T19:08:00Z;SM4;SMM-U1;43.5750210756032;3.80318316550074;Vigiechiro - Point Fixe-340824
vigiechiro/vigiechiro-prod-datastore/611bd603705dc0ed5cac17e3;1.19 GiB;10492;118.44 KiB;3.29 KiB;0;0;2022/10/21 03:00;2022/10/21 03:05;611bd603705dc0ed5cac17e3;611ba61b6616f4171aaa502c;Z3;5b1556b30b45c0000f32e7c7;2021-07-19T18:38:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/611bddfd6cef9b4fd0cf92af;1.11 GiB;11827;98.00 KiB;3.93 KiB;0;0;2022/10/21 03:07;2022/10/21 03:13;611bddfd6cef9b4fd0cf92af;611ba61b6616f4171aaa502c;Z3;5b1556b30b45c0000f32e7c7;2021-07-20T18:37:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/611be55fa008989dc9acea34;1.63 GiB;12349;138.45 KiB;3.93 KiB;0;0;2022/10/21 03:15;2022/10/21 03:21;611be55fa008989dc9acea34;611ba61b6616f4171aaa502c;Z3;5b1556b30b45c0000f32e7c7;2021-07-21T18:36:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/611facb043f0e0e8ba27a425;1.43 GiB;13158;113.60 KiB;4.01 KiB;0;0;2022/10/21 05:58;2022/10/21 07:03;611facb043f0e0e8ba27a425;611ba61b6616f4171aaa502c;Z5;5b1556b30b45c0000f32e7c7;2021-08-10T18:13:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/611fb99ab9b33dd39b8cd96d;1.50 GiB;14290;110.15 KiB;4.01 KiB;0;0;2022/10/21 06:21;2022/10/21 07:15;611fb99ab9b33dd39b8cd96d;611ba61b6616f4171aaa502c;Z5;5b1556b30b45c0000f32e7c7;2021-08-11T18:11:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/61210c989d7d36f751eae349;11.77 GiB;1;11.77 GiB;11.77 GiB;0;0;2021/08/21 17:19;2021/08/21 17:21;61210c989d7d36f751eae349;56449e11bf1fcc000c54cf4d;Z12;6102709e7b7c2533a752ddc8;2021-07-21T18:15:00Z;Audiomoth;;43.5025890366254;4.67153906822205;Vigiechiro - Point Fixe-130786
vigiechiro/vigiechiro-prod-datastore/612355b9d7452daf88ae5606;2.11 GiB;12445;177.83 KiB;3.28 KiB;0;0;2022/10/21 09:15;2022/10/21 09:19;612355b9d7452daf88ae5606;611ba61b6616f4171aaa502c;Z5;5b1556b30b45c0000f32e7c7;2021-08-12T18:10:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/61238855d7452daf88ae78db;2.81 GiB;18403;160.30 KiB;359.00 B;0;0;2022/10/21 08:53;2022/10/21 08:58;61238855d7452daf88ae78db;5ee5173b5fbad4001092186e;Z1;60f6e4763a32f200119cc75e;2021-06-18T15:00:00Z;;;45.8352599706383;4.75843301662755;Vigiechiro - Point Fixe-690418
vigiechiro/vigiechiro-prod-datastore/6123a211d7452daf88ae8363;27.15 GiB;2261;12.30 MiB;406.16 KiB;0;0;2021/09/27 17:54;2021/10/04 16:44;6123a211d7452daf88ae8363;6102b0d0db938fffbb96b5ed;Z6;6102709e7b7c2533a752ddc8;2021-07-21T18:15:00Z;Audiomoth;;43.5076311350069;4.65134989564511;Vigiechiro - Point Fixe-130785
vigiechiro/vigiechiro-prod-datastore/612493c32a5a70b6741f1fd3;11.99 GiB;2;5.99 GiB;5.99 GiB;0;0;2021/12/01 10:10;2021/12/01 10:10;612493c32a5a70b6741f1fd3;60a6825858e4b40011cda0fa;Z3;5d3212302b56c4000f6a31f3;2021-05-25T18:30:00Z;;;43.6065074446933;5.58547755318877;Vigiechiro - Point Fixe-130455
vigiechiro/vigiechiro-prod-datastore/6124e30d3d54fb5f7e5d72ee;9.00 GiB;2;4.50 GiB;4.50 GiB;0;0;2021/10/26 09:51;2021/10/26 09:51;6124e30d3d54fb5f7e5d72ee;5f9819a4350f6b000f805595;Z2;5f97f10c350f6b001161ed9b;2021-08-14T18:30:00Z;SM4;SMM-U2;47.296717298488;3.99144905634999;Vigiechiro - Point Fixe-580463
vigiechiro/vigiechiro-prod-datastore/6127a628e622b6d8a18d2783;1.78 GiB;14510;128.84 KiB;4.01 KiB;0;0;2022/10/21 12:46;2022/10/21 12:54;6127a628e622b6d8a18d2783;611ba61b6616f4171aaa502c;Z6;5b1556b30b45c0000f32e7c7;2021-08-10T18:13:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/61289352066f58ba110eb07b;1.78 GiB;15355;121.89 KiB;4.71 KiB;0;0;2022/10/21 13:01;2022/10/21 13:10;61289352066f58ba110eb07b;611ba61b6616f4171aaa502c;Z6;5b1556b30b45c0000f32e7c7;2021-08-11T18:11:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/6128b9dbe12c11ab8e36cc0d;1.73 GiB;13889;130.67 KiB;4.00 KiB;0;0;2022/10/21 12:57;2022/10/21 13:03;6128b9dbe12c11ab8e36cc0d;611ba61b6616f4171aaa502c;Z6;5b1556b30b45c0000f32e7c7;2021-08-12T18:10:00Z;SM4;;46.0549918882943;5.92437927846108;Vigiechiro - Point Fixe-740490
vigiechiro/vigiechiro-prod-datastore/6129501f2233557c207afd10;14.10 GiB;11208;1.29 MiB;212.70 KiB;0;0;2022/10/22 11:45;2022/10/21 14:39;6129501f2233557c207afd10;61294f9d2233557c207afd0f;Z1;6123856b709d1f6bb4a99e1b;2021-08-26T18:30:00Z;PassiveRecorder;;46.790035448069;-0.411698975312504;Vigiechiro - Point Fixe-790433
vigiechiro/vigiechiro-prod-datastore/612a846235d6a5df137f3e9f;6.12 GiB;13080;490.68 KiB;3.20 KiB;0;0;2023/04/01 08:26;2023/04/01 08:26;612a846235d6a5df137f3e9f;5d95d17588b8e3000f15ae72;Z2;55bf2cd2f70d05000d92a4bc;2021-07-09T19:26:00Z;SM3;;43.5242989439687;3.76246500703667;Vigiechiro - Point Fixe-340989
vigiechiro/vigiechiro-prod-datastore/612aa531ccfb6bf02ade1458;14.09 GiB;10930;1.32 MiB;221.04 KiB;0;0;2022/10/23 00:31;2022/10/22 07:00;612aa531ccfb6bf02ade1458;61294f9d2233557c207afd0f;Z1;6123856b709d1f6bb4a99e1b;2021-08-26T18:30:00Z;PassiveRecorder;;46.790035448069;-0.411698975312504;Vigiechiro - Point Fixe-790433
vigiechiro/vigiechiro-prod-datastore/612db943cf7caed2d4d7f086;13.28 GiB;17336;803.41 KiB;77.48 KiB;0;0;2022/01/07 10:42;2022/01/24 12:30;612db943cf7caed2d4d7f086;5d95c34e9bd91a000dd90dee;Z3;55bf2cd2f70d05000d92a4bc;2021-07-09T19:20:00Z;SM4;;43.5282864668573;3.76551013513972;Vigiechiro - Point Fixe-340937
vigiechiro/vigiechiro-prod-datastore/612dbddb529d2647e56c8bce;11.49 GiB;15635;770.49 KiB;72.25 KiB;0;0;2022/01/24 12:25;2022/01/24 12:25;612dbddb529d2647e56c8bce;5d95c34e9bd91a000dd90dee;Z8;55bf2cd2f70d05000d92a4bc;2021-07-29T19:11:00Z;SM4;;43.5282864668573;3.76551013513972;Vigiechiro - Point Fixe-340937
vigiechiro/vigiechiro-prod-datastore/612e4a5a06aa48a56d73eee7;1.80 GiB;3273;578.15 KiB;3.21 KiB;0;0;2022/10/21 16:43;2022/10/21 16:45;612e4a5a06aa48a56d73eee7;57879da46a471d000e711d15;Z3;612dd87ec4fca3a225b3310b;2021-07-20T20:00:00Z;PassiveRecorder;Autre micro externe;45.8949037525118;-0.630130291247042;Vigiechiro - Point Fixe-170692
vigiechiro/vigiechiro-prod-datastore/61308c36446f94d31ddb1016;15.89 GiB;19227;866.56 KiB;202.74 KiB;0;0;2023/03/05 11:47;2023/03/03 20:14;61308c36446f94d31ddb1016;59423a14993706000e0750dd;Z3;5f1ed0387bc638001134e208;2021-08-26T17:45:00Z;SM4;SMM-U2;45.2073497586315;4.9883508682251;Vigiechiro - Point Fixe-260085
