Group.1;Group.2;Group.3;Group.4;x
Vigie-chiro - Routier-153;07/07/2012 00:35;direct; 1;1
Vigie-chiro - Routier-263;07/07/2012 21:58;direct; 1;1
Vigiechiro - Pédestre-220061;07/07/2014 00:47;direct; 1;1
Vigiechiro - Pédestre-440730;07/07/2015 22:35;direct; 1;1
Vigie-chiro - Routier-176;07/07/2016 22:35;direct; 1;1
Vigie-chiro - Routier-19;07/07/2016 22:35;direct; 1;1
Vigie-chiro - Routier-81;07/07/2016 22:45;direct; 1;1
Vigie-chiro - Routier-59;07/07/2020 22:45;direct; 1;1
Vigiechiro - Pédestre-621406;07/07/2020 22:45;direct; 1;1
Vigiechiro - Pédestre-220447;07/07/2020 22:50;direct; 1;1
Vigiechiro - Pédestre-621406;07/07/2021 22:25;direct; 1;1
Vigie-chiro - Routier-286;07/07/2021 22:35;direct; 1;1
Vigie-chiro - Routier-440;07/07/2021 22:44;direct; 1;1
Vigie-chiro - Routier-10;07/08/2007 23:45;direct; 1;1
Vigiechiro - Pédestre-750007;07/08/2008 01:41;direct; 1;1
Vigie-chiro - Routier-141;07/08/2008 01:46;direct; 1;1
Vigie-chiro - Routier-29;07/09/2006 23:00;direct; 1;1
Vigie-chiro - Routier-30;07/09/2006 23:00;direct; 1;1
Vigie-chiro - Routier-59;07/09/2007 01:15;direct; 1;1
Vigie-chiro - Routier-69;07/09/2008 22:53;direct; 1;1
Vigie-chiro - Routier-129;07/09/2008 23:12;direct; 1;1
Vigie-chiro - Routier-17;07/09/2008 23:15;direct; 1;1
Vigiechiro - Pédestre-130682;07/09/2009 20:25;direct; 1;1
Vigie-chiro - Routier-130;07/09/2009 20:45;direct; 1;1
Vigie-chiro - Routier-179;07/09/2009 21:00;direct; 1;1
Vigie-chiro - Routier-81;07/09/2009 21:00;direct; 1;1
Vigiechiro - Pédestre-200708;07/09/2009 22:34;direct; 1;1
Vigie-chiro - Routier-178;07/09/2009 22:50;direct; 1;1
Vigie-chiro - Routier-32;07/09/2009 23:00;direct; 1;1
