Scientific.name
Tringa nebularia
Circus aeruginosus
Synema globosum
Cicada orni
Eublemma suava
Tachina fera
Daucus carota
Zicrona caerulea
Pancratium maritimum
Arbutus unedo
Calidris canutus
Lanius collurio
Pandion haliaetus
Limosa limosa
Calidris ferruginea
Numenius arquata
Tringa totanus
Anas acuta
Anas crecca
Platalea leucorodia
Amanita citrina
Hipparchia semele
Hipparchia statilinus
Argynnis paphia
Dactylorhiza fuchsii
Gentiana burseri
Lasiocampa quercus
Antaxius hispanicus
Camponotus herculeanus
Limax maximus
Lasiommata maera
Mesembrina mystacea
Coenonympha pamphilus
Erebia euryale
Certhia familiaris
Stauroderus scalaris
Glomeris marginata
Ephippiger diurnus
Diplodus puntazzo
Actinia mediterranea
Muraena helena
Gobius incognitus
Parablennius incognitus
Spondyliosoma cantharus
Symphodus ocellatus
Coenagrion mercuriale
Rabelera holostea
Thymelicus lineola
Polyommatus amandus
Melitaea phoebe
Zygaena viciae
Brenthis ino
Zygaena lonicerae
Chorthippus binotatus
Euchorthippus chopardi
Motacilla flava flava
Mantis religiosa
Brenthis hecate
Pijnackeria masettii
Laeosopis roboris
Pheidole pallidula
Omocestus raymondi
Erythromma lindenii
Satyrium ilicis
Satyrium spini
Aeshna affinis
Genetta genetta
Chrysolina bankii
Oxyopes lineatus
Anacamptis pyramidalis
Centaurea montana
Eryngium campestre
Emberiza calandra
Passer montanus
Anthus spinoletta
Polyommatus escheri
Cimbex femoratus
Hirundo tahitica
Monotaxis grandoculis
Stegastes nigricans
Acropora gemmifera
Acanthaster planci
Pocillopora damicornis
Heniochus varius
Centropyge flavissima
Tubastraea micranthus
Plectroglyphidodon dickii
Hydnophora rigida
Parupeneus multifasciatus
Danaus plexippus
Hylotrupes bajulus
Barbitistes obtusus
Myotis emarginatus
Gobio gobio
Alburnoides bipunctatus
Telestes souffia
Phoxinus septimaniae
Ardea alba
Grus grus
Issoria lathonia
Geranium lucidum
Ranunculus flammula
Erynnis tages
Veronica officinalis
Chlorocebus tantalus
Columba guinea
Rubraea egina egina
Torminalis glaberrima
Onychogomphus forcipatus
Gallinula tenebrosa
Trapezites symmomus
Pyrrhula pyrrhula
Mergus serrator
Haematopus ostralegus
Turdus philomelos
Falco peregrinus
Netta rufina
Aythya nyroca
Aythya ferina
Parus major
Viburnum tinus
Asplenium ceterach
Smilax aspera
Gymnophthalmus underwoodi
Phaethon aethereus
Loxigilla noctis
Poecile palustris
Carduelis carduelis
Spinus spinus
Orthotomus sutorius
Arabidopsis thaliana
Orchis mascula
Fritillaria meleagris
Podiceps auritus
Larus canus
Eremophila alpestris
Pyronia cecilia
Pycnonotus aurigaster
Chloropsis aurifrons
Chrysiptera brownriggii
Upeneus tragula
Siganus guttatus
Tridacna squamosa
Siganus javus
Siganus virgatus
Saxicola rubicola
Merops apiaster
Quercus pubescens
Coriaria myrtifolia
Euphorbia cyparissias
Lithospermum officinale
Sherardia arvensis
Fomes fomentarius
Anolis terraealtae
Setophaga petechia
Alsophis danforthi
Orthemis macrostigma
Melanospiza bicolor
Pelecanus occidentalis
Coereba flaveola
Falco sparverius
Pycnonotus cafer
Zygaena lavandulae
Euchorthippus elegantulus
Erythromma viridulum
Ophrys sphegodes spruneri
Campanula topaliana delphica
Euphorbia acanthothamnos
Micromeria juliana
Nycticorax nycticorax
Natrix helvetica helvetica
Podiceps nigricollis
Branta bernicla
Ulex europaeus
Prunella modularis
Scyliorhinus canicula
Tuberaria guttata
Mauremys leprosa
Cistus salviifolius
Ploceus cucullatus
Lanius humeralis
Centropus senegalensis
Hirundo rustica
Elanus caeruleus
Lanius corvinus
Ophrys sphegodes
Helianthemum canum
Erodium foetidum
Valeriana tuberosa
Adela reaumurella
Anacamptis morio
Orchis anthropophora
Phoenicurus ochruros
Gomphocerippus rufus
Tyto alba
Bracca rotundata
Asota orbona
Hyalobathra unicolor
Melloria quoyi
Dendrelaphis punctulatus
Crocodylus porosus
Merops ornatus
Todiramphus sanctus
Myiagra rubecula
Microporus xanthopus
Megapodius reinwardt
Burhinus grallarius
Chorthippus dorsatus
Chrysochraon dispar
Dama dama
Ramburiella hispanica
Cervus elaphus
Corvus monedula
Psittacula krameri
Streptopelia decaocto
Tringa ochropus
Burhinus oedicnemus
Anthocharis cardamines
Spatula querquedula
Saturnia pavonia
Coccinella septempunctata
Dociostaurus jagoi
Cygnus melancoryphus
Trifolium incarnatum
Melilotus indicus
Tulipa sylvestris australis
Brachypodium retusum
Gallinula chloropus
Alcedo atthis
Galanthus nivalis
Taxus baccata
Phrynocephalus versicolor
Syrrhaptes paradoxus
Zichya baranovi
Limonium aureum
Oenanthe deserti
Mylabris aulica
Allium mongolicum
Convolvulus ammannii
Olgaea leucophylla
Tadorna tadorna
Microcarbo pygmaeus
Rana dalmatina
Sturnella neglecta
Haliaeetus leucocephalus
Zenaida macroura
Pooecetes gramineus
Tachycineta bicolor
Spizella breweri
Molothrus ater
Oxyura jamaicensis
Cistothorus palustris
Xanthocephalus xanthocephalus
Phalaropus tricolor
Aythya americana
Gallinago delicata
Buteo jamaicensis
Bombycilla cedrorum
Brassica rapa
Helophilus fasciatus
Umbilicus rupestris
Oblada melanurus
Pinna nobilis
Chromis chromis
Serranus cabrilla
Periparus ater
Archaeolacerta bedriagae
Yucca gloriosa
Reichardia picroides
Lactuca viminea
Scrophularia auriculata
Agrostemma githago
Iris pseudacorus
Adalia decempunctata
Ficedula hypoleuca
Meles meles
Alectoris rufa
Rhipidura albiscapa
Geopelia placida
Oecophylla smaragdina
Microeca flavigaster
Anhinga novaehollandiae
Irediparra gallinacea
Ardea plumifera
Microcarbo melanoleucos
Anseranas semipalmata
Pelecanus conspicillatus
Platalea regia
Ardea pacifica
Antigone rubicunda
Ardeotis australis
Falco cenchroides
Petrogale assimilis
Notamacropus agilis
Lampropholis mirabilis
Threskiornis spinicollis
Trichoglossus moluccanus
Icthyophaga leucogaster
Danaus petilia
Haliastur sphenurus
Anthus australis
