term;Estimate;Std..Error;z.value;Pr...z..;bt_mean;bt_sd;coef_raw;coef;ICinf;ICsup;VIF;res
year;0.319556819301567;0.112909497407583;2.83020318607942;0.00465184513360642;2017.30296479308;3.14178669566807;1.37651758311179;1.10706438363335;1.03176883752521;1.18785478387696;1.0940036977519;Eptser_sorting_customOCCITANIE_Coefs.csv
year;0.239068794105793;0.0704175467227585;3.39501736757505;0.000686242472383874;2015.02473122593;4.55714780941142;1.27006590662687;1.05386059645334;1.02242228579992;1.08626559904069;1.01588175732311;Hypsav_sorting_0_Coefs.csv
year;0.0166897732520787;0.0688556451287956;0.242387871333719;0.808479631493098;2015.5914490876;4.26057859697465;1.01682982558003;1.00392493757521;0.972623788450045;1.03623342576425;1.01518857512581;Hypsav_sorting_23_Coefs.csv
year;0.0449803730206449;0.069872984561109;0.643744836479775;0.519740910196317;2015.59041942605;4.26202702063452;1.04600732974298;1.01060963852217;0.978652647890778;1.04361015491566;1.01559326417862;Hypsav_sorting_45_Coefs.csv
year;0.132104369430598;0.0866904761556893;1.52386254279362;0.127543052124961;2015.96827450429;4.28047253415115;1.14122742230802;1.03134327136906;0.991206723545062;1.07310505279263;1.2106446236044;Hypsav_sorting_60_Coefs.csv
year;0.194423552756573;0.0920720737017191;2.11164520293566;0.0347168923332869;2015.59041942605;4.26202702063452;1.21461062570158;1.04667411300279;1.00328212612746;1.09194280482079;1.01575750512097;Hypsav_sorting_custom_Coefs.csv
year;0.859315543890076;0.218240379427574;3.93747273599866;8.23442843308775e-05;2016.05134424904;3.29438980040991;2.36154376735094;1.29802268758057;1.13997027150217;1.47798845250035;1.16574621977284;Hypsav_sorting_customBRETAGNE_Coefs.csv
year;0.156274275146991;0.128178594552322;1.21919167309329;0.222771451673481;2017.30296479308;3.14178669566807;1.16914682703611;1.05099840520187;0.970230095005489;1.13849039874466;1.0678740139423;Hypsav_sorting_customOCCITANIE_Coefs.csv
year;-0.56468075590492;0.128137193747779;-4.40684503374111;1.04887172032476e-05;2015.02473122593;4.55714780941142;0.568541621344076;0.883458462532776;0.836088362870544;0.933512400939403;1.59731083566702;Minsch_sorting_0_Coefs.csv
year;-0.548823329217203;0.119999494646163;-4.57354700397274;4.79536037106213e-06;2015.5914490876;4.26057859697465;0.577629089931327;0.879137231000088;0.831921831850502;0.929032321716244;1.58070465974419;Minsch_sorting_23_Coefs.csv
year;-0.548532257317695;0.120060162733467;-4.56881154272159;4.90497567019464e-06;2015.59041942605;4.26202702063452;0.57779724599931;0.879235762290917;0.83200746762547;0.929144936520309;1.58208979399967;Minsch_sorting_45_Coefs.csv
year;-0.543162470578124;0.120962488853106;-4.49033808520364;7.11102131099765e-06;2015.96827450429;4.28047253415115;0.5809082391987;0.880827819569934;0.83336795328903;0.930990500254142;4.0660882023294;Minsch_sorting_60_Coefs.csv
year;-0.54142238392674;0.125340651014102;-4.31960724271189;1.5630713632609e-05;2015.96827450429;4.28047253415115;0.581919949848227;0.881185964213783;0.832037147362726;0.93323802427401;3.16905099685515;Minsch_sorting_custom_Coefs.csv
year;-0.373744314491985;0.136142625127184;-2.74524098637612;0.00604664776522949;2017.56167284277;2.98067654074819;0.688152840045372;0.882153599999856;0.806613555586565;0.964768033716972;2.38722473082428;Minsch_sorting_customOCCITANIE_Coefs.csv
